"## AMRrules specification v0.6, file updated 2025-09-03"																							
ruleID	txid	organism	gene	nodeID	protein accession	HMM accession	nucleotide accession	ARO accession	mutation	variation type	gene context	drug	drug class	phenotype	clinical category	breakpoint	breakpoint standard	breakpoint condition	PMID	evidence code	evidence grade	evidence limitations	rule curation note
PSA0001	287	s__Pseudomonas aeruginosa	mexX	mexX	BAA34299.1	-	-	ARO:3003034	-	Gene presence detected 	core	amikacin	-	wildtype	S	(MIC <= 16 mg/L)	EUCAST v15.0 (2025)	"breakpoint in brackets, i.e. not to be used for monotherapy"	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0002	287	s__Pseudomonas aeruginosa	mexY	-	BAA34300.1	-	-	ARO:3003033	-	Gene presence detected 	core	amikacin	-	wildtype	S	(MIC <= 16 mg/L)	EUCAST v15.0 (2025)	"breakpoint in brackets, i.e. not to be used for monotherapy"	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0003	287	s__Pseudomonas aeruginosa	blaPDC_gen	blaPDC_gen	-	-	-	ARO:3000098	-	Gene presence detected 	core	amoxicillin	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	"ECO:0001091 knockout phenotypic evidence, ECO:0000005 enzymatic activity assay evidence"	high	-	
PSA0004	287	s__Pseudomonas aeruginosa	mexA	mexA	AAA74436.1	NF033834.1	-	ARO:3000377	-	Gene presence detected 	core	amoxicillin	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0005	287	s__Pseudomonas aeruginosa	mexB	-	AAA74437.1	-	-	ARO:3000378	-	Gene presence detected 	core	amoxicillin	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0006	287	s__Pseudomonas aeruginosa	oprM	-	"WP_003084633.1, AAG03816.1"	-	-	ARO:3000379	-	Gene presence detected 	core	amoxicillin	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0007	287	s__Pseudomonas aeruginosa	blaPDC_gen	blaPDC_gen	-	-	-	ARO:3000098	-	Gene presence detected 	core	amoxicillin-clavulanic acid	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	"ECO:0001091 knockout phenotypic evidence, ECO:0000005 enzymatic activity assay evidence, ECO:0000024 protein-binding evidence"	high	-	
PSA0008	287	s__Pseudomonas aeruginosa	mexA	mexA	AAA74436.1	NF033834.1	-	ARO:3000377	-	Gene presence detected 	core	amoxicillin-clavulanic acid	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0009	287	s__Pseudomonas aeruginosa	mexB	-	AAA74437.1	-	-	ARO:3000378	-	Gene presence detected 	core	amoxicillin-clavulanic acid	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0010	287	s__Pseudomonas aeruginosa	oprM	-	"WP_003084633.1, AAG03816.1"	-	-	ARO:3000379	-	Gene presence detected 	core	amoxicillin-clavulanic acid	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
